Year,State,intake_feline,intake_canine,outcome_feline,outcome_canine,total_intake,total_outcome,net_outcome
2019,Alaska,1045.0,125.0,750.0,764.0,1170.0,1514.0,344.0
2020,Alaska,842.0,204.0,703.0,708.0,1046.0,1411.0,365.0
2021,Alaska,803.0,160.0,789.0,764.0,963.0,1553.0,590.0
2022,Alaska,879.0,120.0,790.0,781.0,999.0,1571.0,572.0
2019,Alabama,5790.0,1140.0,11030.0,8047.0,6930.0,19077.0,12147.0
2020,Alabama,5150.0,953.0,10210.0,9162.0,6103.0,19372.0,13269.0
2021,Alabama,5926.0,1203.0,9139.0,10686.0,7129.0,19825.0,12696.0
2022,Alabama,5754.0,794.0,8850.0,10463.0,6548.0,19313.0,12765.0
2019,Arkansas,4950.0,1273.0,9181.0,9131.0,6223.0,18312.0,12089.0
2020,Arkansas,4237.0,909.0,6360.0,6213.0,5146.0,12573.0,7427.0
2021,Arkansas,4184.0,740.0,6721.0,6565.0,4924.0,13286.0,8362.0
2022,Arkansas,4603.0,718.0,7313.0,7056.0,5321.0,14369.0,9048.0
2019,Arizona,32572.0,4954.0,63540.0,62972.0,37526.0,126512.0,88986.0
2020,Arizona,25912.0,3523.0,46060.0,47370.0,29435.0,93430.0,63995.0
2021,Arizona,30246.0,6026.0,49606.0,50466.0,36272.0,100072.0,63800.0
2022,Arizona,29418.0,4128.0,49539.0,50777.0,33546.0,100316.0,66770.0
2019,California,191582.0,46183.0,209876.0,170545.0,237765.0,380421.0,142656.0
2020,California,120662.0,30894.0,121238.0,113836.0,151556.0,235074.0,83518.0
2021,California,122484.0,30723.0,124957.0,113284.0,153207.0,238241.0,85034.0
2022,California,135395.0,29036.0,148582.0,125058.0,164431.0,273640.0,109209.0
2019,Colorado,40763.0,7930.0,37575.0,38838.0,48693.0,76413.0,27720.0
2020,Colorado,37680.0,8344.0,30356.0,32690.0,46024.0,63046.0,17022.0
2021,Colorado,42088.0,9242.0,34860.0,33136.0,51330.0,67996.0,16666.0
2022,Colorado,44152.0,8400.0,36162.0,33138.0,52552.0,69300.0,16748.0
2019,Connecticut,4088.0,407.0,2483.0,2460.0,4495.0,4943.0,448.0
2020,Connecticut,3540.0,670.0,1625.0,1713.0,4210.0,3338.0,-872.0
2021,Connecticut,3619.0,754.0,1247.0,1806.0,4373.0,3053.0,-1320.0
2022,Connecticut,3224.0,622.0,1374.0,1835.0,3846.0,3209.0,-637.0
2019,Delaware,1054.0,180.0,565.0,506.0,1234.0,1071.0,-163.0
2020,Delaware,973.0,139.0,502.0,430.0,1112.0,932.0,-180.0
2021,Delaware,1258.0,155.0,618.0,544.0,1413.0,1162.0,-251.0
2022,Delaware,1511.0,85.0,498.0,432.0,1596.0,930.0,-666.0
2019,Florida,73724.0,20877.0,65116.0,58847.0,94601.0,123963.0,29362.0
2020,Florida,65732.0,19583.0,47889.0,47769.0,85315.0,95658.0,10343.0
2021,Florida,72411.0,20511.0,51233.0,50687.0,92922.0,101920.0,8998.0
2022,Florida,71292.0,19509.0,48083.0,47088.0,90801.0,95171.0,4370.0
2019,Georgia,31290.0,8730.0,41110.0,46112.0,40020.0,87222.0,47202.0
2020,Georgia,28495.0,8352.0,29919.0,35565.0,36847.0,65484.0,28637.0
2021,Georgia,32792.0,9437.0,31978.0,35045.0,42229.0,67023.0,24794.0
2022,Georgia,29908.0,7184.0,31584.0,31429.0,37092.0,63013.0,25921.0
2019,Hawaii,15719.0,2789.0,17480.0,8569.0,18508.0,26049.0,7541.0
2020,Hawaii,10894.0,1867.0,10634.0,6153.0,12761.0,16787.0,4026.0
2021,Hawaii,11249.0,2495.0,10204.0,6337.0,13744.0,16541.0,2797.0
2022,Hawaii,10203.0,2226.0,10670.0,7146.0,12429.0,17816.0,5387.0
2019,Iowa,12544.0,2905.0,9585.0,10548.0,15449.0,20133.0,4684.0
2020,Iowa,11212.0,2766.0,8642.0,8513.0,13978.0,17155.0,3177.0
2021,Iowa,12549.0,2580.0,10163.0,9498.0,15129.0,19661.0,4532.0
2022,Iowa,12200.0,2171.0,9991.0,10633.0,14371.0,20624.0,6253.0
2019,Idaho,16716.0,4589.0,18761.0,14866.0,21305.0,33627.0,12322.0
2020,Idaho,13614.0,3543.0,13781.0,12273.0,17157.0,26054.0,8897.0
2021,Idaho,13084.0,3543.0,14243.0,12574.0,16627.0,26817.0,10190.0
2022,Idaho,14845.0,4234.0,13180.0,14446.0,19079.0,27626.0,8547.0
2019,Illinois,16785.0,1243.0,21686.0,18797.0,18028.0,40483.0,22455.0
2020,Illinois,16104.0,1273.0,19740.0,17697.0,17377.0,37437.0,20060.0
2021,Illinois,18189.0,1767.0,19330.0,18132.0,19956.0,37462.0,17506.0
2022,Illinois,19704.0,2415.0,20810.0,19049.0,22119.0,39859.0,17740.0
2019,Indiana,36573.0,10810.0,30412.0,29580.0,47383.0,59992.0,12609.0
2020,Indiana,29281.0,9162.0,20779.0,21113.0,38443.0,41892.0,3449.0
2021,Indiana,35136.0,10440.0,24062.0,22741.0,45576.0,46803.0,1227.0
2022,Indiana,34186.0,8986.0,25017.0,22001.0,43172.0,47018.0,3846.0
2019,Kansas,14497.0,2999.0,15342.0,12877.0,17496.0,28219.0,10723.0
2020,Kansas,11552.0,2567.0,10187.0,8999.0,14119.0,19186.0,5067.0
2021,Kansas,12215.0,2441.0,10429.0,10919.0,14656.0,21348.0,6692.0
2022,Kansas,12401.0,2276.0,11394.0,11289.0,14677.0,22683.0,8006.0
2019,Kentucky,18785.0,4863.0,23025.0,19829.0,23648.0,42854.0,19206.0
2020,Kentucky,16894.0,5744.0,17291.0,16968.0,22638.0,34259.0,11621.0
2021,Kentucky,18331.0,5657.0,18279.0,16349.0,23988.0,34628.0,10640.0
2022,Kentucky,16789.0,5047.0,18208.0,16679.0,21836.0,34887.0,13051.0
2019,Louisiana,19947.0,7320.0,22444.0,22798.0,27267.0,45242.0,17975.0
2020,Louisiana,15559.0,7346.0,15838.0,16825.0,22905.0,32663.0,9758.0
2021,Louisiana,18284.0,8657.0,19673.0,17657.0,26941.0,37330.0,10389.0
2022,Louisiana,16558.0,7140.0,17725.0,15157.0,23698.0,32882.0,9184.0
2019,Massachusetts,10125.0,861.0,5196.0,6740.0,10986.0,11936.0,950.0
2020,Massachusetts,8085.0,622.0,3837.0,5211.0,8707.0,9048.0,341.0
2021,Massachusetts,8128.0,430.0,3538.0,4610.0,8558.0,8148.0,-410.0
2022,Massachusetts,8685.0,439.0,3665.0,4084.0,9124.0,7749.0,-1375.0
2019,Maryland,13056.0,3448.0,10182.0,10637.0,16504.0,20819.0,4315.0
2020,Maryland,12380.0,3676.0,7510.0,7446.0,16056.0,14956.0,-1100.0
2021,Maryland,12804.0,3572.0,8031.0,8208.0,16376.0,16239.0,-137.0
2022,Maryland,12655.0,2831.0,9448.0,9910.0,15486.0,19358.0,3872.0
2019,Maine,4155.0,321.0,2872.0,2680.0,4476.0,5552.0,1076.0
2020,Maine,3194.0,203.0,1671.0,1659.0,3397.0,3330.0,-67.0
2021,Maine,3462.0,255.0,1596.0,1802.0,3717.0,3398.0,-319.0
2022,Maine,3576.0,321.0,1954.0,1957.0,3897.0,3911.0,14.0
2019,Michigan,30136.0,4343.0,26767.0,23224.0,34479.0,49991.0,15512.0
2020,Michigan,24421.0,2784.0,19575.0,19298.0,27205.0,38873.0,11668.0
2021,Michigan,27300.0,2255.0,22569.0,19487.0,29555.0,42056.0,12501.0
2022,Michigan,26964.0,2666.0,22665.0,19534.0,29630.0,42199.0,12569.0
2019,Minnesota,9281.0,1903.0,6161.0,7008.0,11184.0,13169.0,1985.0
2020,Minnesota,9764.0,1597.0,6022.0,6784.0,11361.0,12806.0,1445.0
2021,Minnesota,10601.0,1719.0,5538.0,6682.0,12320.0,12220.0,-100.0
2022,Minnesota,11831.0,2548.0,6105.0,6380.0,14379.0,12485.0,-1894.0
2019,Missouri,19244.0,5012.0,15564.0,19458.0,24256.0,35022.0,10766.0
2020,Missouri,20098.0,6282.0,14058.0,18200.0,26380.0,32258.0,5878.0
2021,Missouri,24367.0,8004.0,12617.0,21209.0,32371.0,33826.0,1455.0
2022,Missouri,24593.0,8081.0,13133.0,23926.0,32674.0,37059.0,4385.0
2019,Mississippi,6740.0,1279.0,15683.0,14174.0,8019.0,29857.0,21838.0
2020,Mississippi,5641.0,1146.0,12533.0,12216.0,6787.0,24749.0,17962.0
2021,Mississippi,6279.0,1501.0,12822.0,11905.0,7780.0,24727.0,16947.0
2022,Mississippi,5803.0,1266.0,10969.0,10135.0,7069.0,21104.0,14035.0
2019,Montana,6826.0,1021.0,6930.0,7207.0,7847.0,14137.0,6290.0
2020,Montana,5966.0,896.0,5102.0,5528.0,6862.0,10630.0,3768.0
2021,Montana,6916.0,1290.0,5181.0,6581.0,8206.0,11762.0,3556.0
2022,Montana,8134.0,1670.0,5842.0,6839.0,9804.0,12681.0,2877.0
2019,North Carolina,41554.0,10719.0,51942.0,44133.0,52273.0,96075.0,43802.0
2020,North Carolina,32012.0,7819.0,35839.0,35255.0,39831.0,71094.0,31263.0
2021,North Carolina,35357.0,6958.0,39650.0,34598.0,42315.0,74248.0,31933.0
2022,North Carolina,34552.0,5845.0,39579.0,35827.0,40397.0,75406.0,35009.0
2019,North Dakota,2975.0,281.0,1509.0,2160.0,3256.0,3669.0,413.0
2020,North Dakota,2588.0,253.0,1469.0,2032.0,2841.0,3501.0,660.0
2021,North Dakota,2705.0,306.0,1527.0,2270.0,3011.0,3797.0,786.0
2022,North Dakota,3178.0,256.0,1835.0,2467.0,3434.0,4302.0,868.0
2019,Nebraska,6236.0,690.0,5692.0,4143.0,6926.0,9835.0,2909.0
2020,Nebraska,5121.0,520.0,4598.0,3979.0,5641.0,8577.0,2936.0
2021,Nebraska,4652.0,437.0,4217.0,3888.0,5089.0,8105.0,3016.0
2022,Nebraska,4927.0,471.0,4434.0,4105.0,5398.0,8539.0,3141.0
2019,New Hampshire,4042.0,331.0,2910.0,2935.0,4373.0,5845.0,1472.0
2020,New Hampshire,3364.0,201.0,2061.0,2110.0,3565.0,4171.0,606.0
2021,New Hampshire,3787.0,237.0,1881.0,2175.0,4024.0,4056.0,32.0
2022,New Hampshire,3622.0,239.0,1779.0,1927.0,3861.0,3706.0,-155.0
2019,New Jersey,17797.0,5560.0,13535.0,12754.0,23357.0,26289.0,2932.0
2020,New Jersey,17849.0,4536.0,11181.0,11479.0,22385.0,22660.0,275.0
2021,New Jersey,17037.0,3722.0,10159.0,10457.0,20759.0,20616.0,-143.0
2022,New Jersey,16467.0,3431.0,10191.0,10167.0,19898.0,20358.0,460.0
2019,New Mexico,14167.0,5641.0,18823.0,21605.0,19808.0,40428.0,20620.0
2020,New Mexico,10274.0,3965.0,13633.0,16432.0,14239.0,30065.0,15826.0
2021,New Mexico,11260.0,4441.0,16142.0,14984.0,15701.0,31126.0,15425.0
2022,New Mexico,11628.0,4669.0,15285.0,14259.0,16297.0,29544.0,13247.0
2019,Nevada,14084.0,3462.0,18871.0,20939.0,17546.0,39810.0,22264.0
2020,Nevada,11409.0,2254.0,12061.0,13474.0,13663.0,25535.0,11872.0
2021,Nevada,12560.0,2557.0,13421.0,13451.0,15117.0,26872.0,11755.0
2022,Nevada,14187.0,3123.0,15546.0,16950.0,17310.0,32496.0,15186.0
2019,New York,48358.0,11946.0,26111.0,22582.0,60304.0,48693.0,-11611.0
2020,New York,38764.0,7490.0,17837.0,15897.0,46254.0,33734.0,-12520.0
2021,New York,38762.0,7152.0,17553.0,16784.0,45914.0,34337.0,-11577.0
2022,New York,38464.0,7271.0,17762.0,17166.0,45735.0,34928.0,-10807.0
2019,Ohio,21243.0,2774.0,16605.0,18913.0,24017.0,35518.0,11501.0
2020,Ohio,17121.0,2193.0,12841.0,15130.0,19314.0,27971.0,8657.0
2021,Ohio,20200.0,2223.0,14280.0,15536.0,22423.0,29816.0,7393.0
2022,Ohio,21844.0,1841.0,15032.0,17500.0,23685.0,32532.0,8847.0
2019,Oklahoma,7832.0,3921.0,8618.0,8925.0,11753.0,17543.0,5790.0
2020,Oklahoma,6797.0,2818.0,7102.0,7546.0,9615.0,14648.0,5033.0
2021,Oklahoma,6838.0,1906.0,6517.0,8146.0,8744.0,14663.0,5919.0
2022,Oklahoma,6422.0,1326.0,6162.0,7420.0,7748.0,13582.0,5834.0
2019,Oregon,22193.0,3493.0,13947.0,13462.0,25686.0,27409.0,1723.0
2020,Oregon,17470.0,2432.0,9042.0,8980.0,19902.0,18022.0,-1880.0
2021,Oregon,16009.0,2032.0,8678.0,8853.0,18041.0,17531.0,-510.0
2022,Oregon,18757.0,2112.0,10435.0,10299.0,20869.0,20734.0,-135.0
2019,Pennsylvania,20796.0,1703.0,14004.0,16345.0,22499.0,30349.0,7850.0
2020,Pennsylvania,18135.0,1421.0,12205.0,13110.0,19556.0,25315.0,5759.0
2021,Pennsylvania,16379.0,1365.0,11830.0,12308.0,17744.0,24138.0,6394.0
2022,Pennsylvania,17579.0,1881.0,12656.0,12543.0,19460.0,25199.0,5739.0
2019,Rhode Island,2598.0,427.0,2656.0,2944.0,3025.0,5600.0,2575.0
2020,Rhode Island,2316.0,552.0,2138.0,2443.0,2868.0,4581.0,1713.0
2021,Rhode Island,2839.0,639.0,2236.0,2356.0,3478.0,4592.0,1114.0
2022,Rhode Island,3209.0,612.0,2309.0,2525.0,3821.0,4834.0,1013.0
2019,South Carolina,20811.0,6151.0,27481.0,24841.0,26962.0,52322.0,25360.0
2020,South Carolina,18182.0,7410.0,21835.0,20193.0,25592.0,42028.0,16436.0
2021,South Carolina,20326.0,6383.0,22730.0,20544.0,26709.0,43274.0,16565.0
2022,South Carolina,19628.0,6002.0,23205.0,21337.0,25630.0,44542.0,18912.0
2019,South Dakota,625.0,205.0,583.0,562.0,830.0,1145.0,315.0
2020,South Dakota,616.0,169.0,492.0,528.0,785.0,1020.0,235.0
2021,South Dakota,865.0,383.0,821.0,803.0,1248.0,1624.0,376.0
2022,South Dakota,1113.0,570.0,727.0,845.0,1683.0,1572.0,-111.0
2019,Tennessee,24398.0,8724.0,32884.0,34185.0,33122.0,67069.0,33947.0
2020,Tennessee,20117.0,7323.0,24210.0,27848.0,27440.0,52058.0,24618.0
2021,Tennessee,21656.0,6490.0,25543.0,28178.0,28146.0,53721.0,25575.0
2022,Tennessee,21570.0,5870.0,26769.0,27712.0,27440.0,54481.0,27041.0
2019,Texas,126358.0,57238.0,190759.0,178763.0,183596.0,369522.0,185926.0
2020,Texas,98984.0,48114.0,131517.0,147584.0,147098.0,279101.0,132003.0
2021,Texas,104467.0,43317.0,128950.0,125318.0,147784.0,254268.0,106484.0
2022,Texas,91148.0,34085.0,126774.0,118180.0,125233.0,244954.0,119721.0
2019,Utah,23224.0,9947.0,17879.0,17497.0,33171.0,35376.0,2205.0
2020,Utah,24111.0,8545.0,14412.0,13425.0,32656.0,27837.0,-4819.0
2021,Utah,22878.0,8806.0,14625.0,14877.0,31684.0,29502.0,-2182.0
2022,Utah,23209.0,8217.0,13928.0,14508.0,31426.0,28436.0,-2990.0
2019,Virginia,18698.0,3233.0,18306.0,17531.0,21931.0,35837.0,13906.0
2020,Virginia,18132.0,3362.0,14856.0,14922.0,21494.0,29778.0,8284.0
2021,Virginia,17830.0,3534.0,14721.0,14214.0,21364.0,28935.0,7571.0
2022,Virginia,19353.0,3508.0,16441.0,15544.0,22861.0,31985.0,9124.0
2019,Vermont,2933.0,252.0,1332.0,1115.0,3185.0,2447.0,-738.0
2020,Vermont,2591.0,172.0,843.0,721.0,2763.0,1564.0,-1199.0
2021,Vermont,2818.0,204.0,895.0,724.0,3022.0,1619.0,-1403.0
2022,Vermont,2520.0,114.0,876.0,757.0,2634.0,1633.0,-1001.0
2019,Washington,52791.0,9236.0,35665.0,32538.0,62027.0,68203.0,6176.0
2020,Washington,40745.0,7371.0,21723.0,20149.0,48116.0,41872.0,-6244.0
2021,Washington,45134.0,8028.0,22822.0,26348.0,53162.0,49170.0,-3992.0
2022,Washington,49986.0,9258.0,25785.0,23113.0,59244.0,48898.0,-10346.0
2019,Wisconsin,24515.0,4508.0,18009.0,15545.0,29023.0,33554.0,4531.0
2020,Wisconsin,24375.0,3896.0,15441.0,14377.0,28271.0,29818.0,1547.0
2021,Wisconsin,24878.0,4550.0,14608.0,14124.0,29428.0,28732.0,-696.0
2022,Wisconsin,25518.0,4850.0,16216.0,15062.0,30368.0,31278.0,910.0
2019,West Virginia,5587.0,1510.0,6105.0,5581.0,7097.0,11686.0,4589.0
2020,West Virginia,5740.0,2100.0,4858.0,5242.0,7840.0,10100.0,2260.0
2021,West Virginia,5767.0,2317.0,4819.0,5349.0,8084.0,10168.0,2084.0
2022,West Virginia,4963.0,1636.0,4232.0,4866.0,6599.0,9098.0,2499.0
2019,Wyoming,4484.0,1346.0,3227.0,5292.0,5830.0,8519.0,2689.0
2020,Wyoming,3807.0,1204.0,2673.0,3493.0,5011.0,6166.0,1155.0
2021,Wyoming,3830.0,969.0,2263.0,3563.0,4799.0,5826.0,1027.0
2022,Wyoming,3540.0,496.0,2344.0,3131.0,4036.0,5475.0,1439.0
